Country,UnitPrice
Australia,3.220611596505163
Austria,4.243192019950125
Bahrain,4.556315789473683
Belgium,3.6443354277428712
Brazil,4.45625
Canada,6.030331125827815
Channel Islands,4.93212401055409
Cyprus,6.3023633440514475
Czech Republic,2.9383333333333335
Denmark,3.25694087403599
EIRE,5.911077354807223
European Community,4.8204918032786885
Finland,5.448705035971223
France,5.028864087881266
Germany,3.9669299631384938
Greece,4.885547945205479
Hong Kong,42.505208333333336
Iceland,2.644010989010989
Israel,3.633131313131313
Italy,4.831120797011208
Japan,2.276145251396648
Lebanon,5.387555555555555
Lithuania,2.841142857142857
Malta,5.244173228346456
Netherlands,2.738317165752847
Norway,6.012025782688767
Poland,4.1708797653958944
Portugal,8.582975641869652
RSA,4.277586206896552
Saudi Arabia,2.411
Singapore,109.64580786026201
Spain,4.98754441373865
Sweden,3.910887445887446
Switzerland,3.4034415584415583
USA,2.216426116838488
United Arab Emirates,3.3807352941176467
United Kingdom,4.5324221741429485
Unspecified,2.6995739910313903
